group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PitR	A0A1T4NWG8	unreviewed	TIGR00153 family protein	1121270	Carboxydocella	sporoproducens	DSM 16521	208
PitR	A0A929HW42	unreviewed	DUF47 domain-containing protein	1977087	Pseudomonadota	bacterium	NA	232
PitR	A0A2E4FWS7	unreviewed	DUF47 family protein	1869227	bacterium	NA	NA	229
PitR	A0A7Y4XCM1	unreviewed	DUF47 domain-containing protein	1978231	Acidobacteriota	bacterium	NA	205
PitR	A0A944XHR7	unreviewed	DUF47 family protein	2026786	Rhodospirillales	bacterium	NA	220
PitR	A0A0X3ALX3	unreviewed	Phosphate transport regulator	1586267	Apibacter	mensalis	NA	213
PitR	A0A5R9FXI5	unreviewed	DUF47 family protein	2582848	Paenibacillus	antri	NA	206
PitR	A0A178MJU6	unreviewed	Nuclease PIN	1437059	Magnetospirillum	moscoviense	NA	214
PitR	A0A850LZJ7	unreviewed	DUF47 family protein	2719382	Candidatus	Helarchaeota	archaeon	220
PitR	A0A0H5BIB1	unreviewed	Phosphate transport regulator	1079	Blastochloris	viridis	NA	214
PitR	A0A3D3GEC4	unreviewed	DUF47 domain-containing protein	2053517	Bdellovibrionales	bacterium	NA	209
PitR	A0A7C1E588	unreviewed	DUF47 family protein	683846	Fervidicoccus	fontis	NA	219
PitR	A0A7C7ZGV5	unreviewed	TIGR00153 family protein	2026763	Myxococcales	bacterium	NA	222
PitR	A0A011MFN1	unreviewed	Putative pit accessory protein	1454001	Candidatus	Accumulibacter	adjunctus	211
PitR	A0A4V1ZUX4	unreviewed	DUF47 domain-containing protein	1913988	Alphaproteobacteria	bacterium	NA	222
PitR	A0A1L8R6C8	unreviewed	TIGR00153 family protein	317010	Enterococcus	canintestini	NA	207
PitR	A0A7X7R5M6	unreviewed	DUF47 family protein	1898209	Acholeplasmataceae	bacterium	NA	207
PitR	A0A962KEP0	unreviewed	TIGR00153 family protein	2024834	Halioglobus	sp.	NA	225
PitR	A0A7W1UQ80	unreviewed	DUF47 domain-containing protein	1898104	Bacteroidota	bacterium	NA	237
PitR	A0A7C5LH88	unreviewed	DUF47 family protein	2026799	Verrucomicrobiota	bacterium	NA	208
PitR	A0A660RC46	unreviewed	TIGR00153 family protein	28240	Thermotoga	sp.	NA	215
PitR	A0A1T4YMJ9	unreviewed	TIGR00153 family protein	48467	Prosthecobacter	debontii	NA	226
PitR	A0A6G3ZJ62	unreviewed	DUF47 family protein	2283638	Halorussus	sp.	MSC15.2	223
PitR	A0A133VGE9	unreviewed	DUF47 family protein	1698279	candidate	division	MSBL1 archaeon SCGC-AAA382A13	180
PitR	A0A7C4EMN4	unreviewed	DUF47 family protein	270496	Fundidesulfovibrio	putealis	NA	124
PitR	A0A5M6IYV3	unreviewed	DUF47 domain-containing protein	504468	Rhodovastum	atsumiense	NA	212
PitR	A0A7Z0VRL5	unreviewed	Phosphate transport regulator	1739479	Actinomyces	sp.	HMSC065F12	209
PitR	A5D0L2	unreviewed	Phosphate transport regulator	370438	Pelotomaculum	thermopropionicum	(strain DSM 13744 / JCM 10971 / SI)	209
PitR	A0A9D2GBH5	unreviewed	Phosphate transport regulator	2838685	Candidatus	Mediterraneibacter	stercoravium	207
PitR	A0A927ZEH6	unreviewed	DUF47 domain-containing protein	1898207	Clostridiales	bacterium	NA	206
PitR	A0A2N9LMW3	unreviewed	Phosphate transport regulator protein	1891238	Burkholderiales	bacterium	NA	243
PitR	A0A550H590	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	229
PitR	E1RH45	unreviewed	Uncharacterized protein	679926	Methanolacinia	petrolearia	(strain DSM 11571 / OCM 486 / SEBR 4847)	209
PitR	A0A497H4Q2	unreviewed	TIGR00153 family protein	1906666	Thermoplasmata	archaeon	NA	227
PitR	A0A662SHC3	unreviewed	DUF47 family protein	2056631	Thermoproteota	archaeon	NA	235
PitR	A0A950X7K6	unreviewed	DUF47 domain-containing protein	2052142	Acidobacteriaceae	bacterium	NA	204
PitR	A0A524E6U9	unreviewed	DUF47 family protein	2053489	Promethearchaeota	archaeon	NA	229
PitR	A0A1V4IQJ9	unreviewed	DUF47 domain-containing protein	225345	Clostridium	chromiireducens	NA	208
PitR	A0A126T5Y0	unreviewed	Phosphate transport regulator	1538553	Methylomonas	denitrificans	NA	213
PitR	A0A850RF07	unreviewed	Phosphate transport regulator	504901	Allochromatium	humboldtianum	NA	232
PitR	A0A2H9LKR7	unreviewed	DUF47 domain-containing protein	1974385	Candidatus	Bathyarchaeota	archaeon CG07_land_8_20_14_0_80_47_9	256
PitR	A0A832MQ81	unreviewed	DUF47 domain-containing protein	2282155	Syntrophobacterales	bacterium	NA	207
PitR	F4CPK0	unreviewed	Phosphate transport regulator	675635	Pseudonocardia	dioxanivorans	(strain ATCC 55486 / DSM 44775 / JCM 13855 / CB1190)	222
PitR	A0A7V7ZNL1	unreviewed	DUF47 domain-containing protein	2651839	Chloroflexia	bacterium	SDU3-3	208
PitR	A0A2W4S3Z5	unreviewed	TIGR00153 family protein	1869227	bacterium	NA	NA	371
PitR	A0AB33WFB1	unreviewed	Uncharacterized protein	525377	Staphylococcus	lugdunensis	M23590	216
PitR	T0NAJ3	unreviewed	Phosphate transport regulator	1354301	Clostridium	sp.	BL8	207
PitR	A0A7C1PZP7	unreviewed	DUF47 family protein	2900548	Actinomycetota	bacterium	NA	236
PitR	A0A2E3LWB0	unreviewed	TIGR00153 family protein	2026802	Waddliaceae	bacterium	NA	224
PitR	A0A7Y8JA57	unreviewed	DUF47 domain-containing protein	1898103	Rhodocyclaceae	bacterium	NA	212
PitR	A0A932FN53	unreviewed	DUF47 domain-containing protein	2026742	Gemmatimonadota	bacterium	NA	203
PitR	A0A2H9I150	unreviewed	DUF47 family protein	2041147	Candidatus	Bathyarchaeota	archaeon B24-2	219
PitR	A0A1D9MIU9	unreviewed	Phosphate transport regulator	1912795	Boudabousia	tangfeifanii	NA	206
PitR	A0AAW8G492	unreviewed	Phosphate transport protein (TIGR00153 family)	3041783	Chryseobacterium	sp.	SORGH_AS_1048	239
PitR	A0A7C4CXD3	unreviewed	TIGR00153 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	229
PitR	A0A928SMZ0	unreviewed	DUF47 domain-containing protein	2268199	Polyangiaceae	bacterium	NA	205
PitR	A0A2V7VMK2	unreviewed	DUF47 domain-containing protein	1978231	Acidobacteriota	bacterium	NA	216
PitR	A0A832K8H2	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	219
PitR	A0A3A5IY34	unreviewed	TIGR00153 family protein	2321229	Salinisphaera	sp.	Q1T1-3	230
PitR	A0A3M2FJV8	unreviewed	DUF47 family protein	2212469	Calditrichota	bacterium	NA	214
PitR	A0A1V4TC14	unreviewed	PhoU domain protein	1811727	Methanomassiliicoccales	archaeon	PtaB.Bin134	228
PitR	A0A1F3NUZ4	unreviewed	Phosphate transport regulator	1797365	Bacteroidetes	bacterium	RIFCSPLOWO2_12_FULL_37_12	215
PitR	A0A7C0YXQ2	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	223
PitR	A0A843BTR0	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	245
PitR	A0A7V3PKR8	unreviewed	DUF47 domain-containing protein	2053306	Ignavibacteria	bacterium	NA	220
PitR	A0A3D3HFF5	unreviewed	DUF47 domain-containing protein	2030927	Bacteroidales	bacterium	NA	215
PitR	A0A1G1RP36	unreviewed	Phosphate transport regulator	1801893	Paenibacillus	sp.	RIFOXYA1_FULL_44_5	203
PitR	A0A660XU82	unreviewed	DUF47 domain-containing protein	2026760	Neomarinimicrobiota	bacterium	NA	214
PitR	A0A256XT49	unreviewed	DUF47 family protein	2012527	Thermofilum	sp.	(strain ex4484_79)	220
PitR	A0A351G7G7	unreviewed	DUF47 domain-containing protein	2026724	Chloroflexota	bacterium	NA	184
PitR	A0A256YFY1	unreviewed	TIGR00153 family protein	2012507	Candidatus	Altiarchaeales	archaeon ex4484_43	222
PitR	A0A1I0PQ42	unreviewed	Phosphate transport system protein	1855400	Ruminococcaceae	bacterium	KH2T8	207
