group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PitR	A0A6M2BNW0	unreviewed	DUF47 family protein	1396819	Solimonas	terrae	NA	250
PitR	A0A410Q1E6	unreviewed	DUF47 family protein	2507162	Caproiciproducens	sp.	NJN-50	204
PitR	A0A8T4K4S6	unreviewed	DUF47 domain-containing protein	2830656	Eubacteriaceae	bacterium	Marseille-Q4139	207
PitR	A0A928ED82	unreviewed	DUF47 family protein	2011094	Coriobacteriaceae	bacterium	NA	213
PitR	A0A1G9YZR7	unreviewed	TIGR00153 family protein	258515	Acetanaerobacterium	elongatum	NA	207
PitR	A0A967Z924	unreviewed	DUF47 family protein	1913989	Gammaproteobacteria	bacterium	NA	105
PitR	A0A2J6N1A6	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	241
PitR	A0A2T1HV66	unreviewed	Nuclease PIN	2109933	Alsobacter	soli	NA	214
PitR	A0A357ALT8	unreviewed	DUF47 domain-containing protein	2053608	Ruminiclostridium	sp.	NA	208
PitR	A0A9E3C6B1	unreviewed	DUF47 domain-containing protein	2654182	Frankiaceae	bacterium	NA	206
PitR	A0A419QM32	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	228
PitR	A0A926I527	unreviewed	DUF47 domain-containing protein	2763658	Ligaoa	zhengdingensis	NA	207
PitR	A0A143XY75	unreviewed	Putative pit accessory protein	1780378	Clostridiales	bacterium	CHKCI001	207
PitR	A0A845QJF6	unreviewed	DUF47 family protein	169435	Anaerotruncus	colihominis	NA	208
PitR	A0LWJ0	unreviewed	Phosphate transport regulator	351607	Acidothermus	cellulolyticus	(strain ATCC 43068 / DSM 8971 / 11B)	205
PitR	A0A6P0R7N6	unreviewed	DUF47 family protein	2607805	Okeania	sp.	SIO3I5	289
PitR	A0A2U1ZY38	unreviewed	DUF47 domain-containing protein	1655435	Serinibacter	arcticus	NA	210
PitR	A0A1F9YS43	unreviewed	Phosphate transport regulator	1797979	Euryarchaeota	archaeon	RBG_16_62_10	209
PitR	A0A483CVQ7	unreviewed	DUF47 domain-containing protein	2052832	Methanofollis	fontis	NA	217
PitR	A0A927W778	unreviewed	DUF47 domain-containing protein	1898207	Clostridiales	bacterium	NA	217
PitR	A0A8J7Q3J1	unreviewed	DUF47 domain-containing protein	1914240	Zavarzinella	sp.	NA	215
PitR	A0A1C6VXB3	unreviewed	Phosphate transport regulator	47871	Micromonospora	peucetia	NA	217
PitR	A0A2E8EDQ6	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	222
PitR	F7NP88	unreviewed	Phosphate transport regulator	1009370	Acetonema	longum	DSM 6540	209
PitR	A0A1M4UHN6	unreviewed	TIGR00153 family protein	1121391	Desulfacinum	infernum	DSM 9756	222
PitR	A0A9D2RU89	unreviewed	DUF47 domain-containing protein	1879010	Bacillota	bacterium	NA	208
PitR	A0A9D1NR92	unreviewed	Phosphate transport regulator	2840798	Candidatus	Faeciplasma	avium	206
PitR	A0A2V7DFW5	unreviewed	DUF47 domain-containing protein	2053607	Candidatus	Rokuibacteriota	bacterium	205
PitR	A0A1G1GQ11	unreviewed	Phosphate transport regulator	1801704	Nitrospirae	bacterium	RBG_13_41_22	205
PitR	A0A944XHR7	unreviewed	DUF47 family protein	2026786	Rhodospirillales	bacterium	NA	220
PitR	A0A1G2HX24	unreviewed	Phosphate transport regulator	1802206	Candidatus	Staskawiczbacteria	bacterium RIFCSPHIGHO2_02_FULL_34_9	207
PitR	A0A1T5DSS3	unreviewed	Phosphate transport regulator	619805	Soonwooa	buanensis	NA	212
PitR	A0A928KXP8	unreviewed	DUF47 domain-containing protein	1549	Faecalispora	sporosphaeroides	NA	207
PitR	A0A330LLW2	unreviewed	Phosphate transport regulator	69539	Moritella	yayanosii	NA	225
PitR	A0A2V7VIT4	unreviewed	DUF47 domain-containing protein	1978231	Acidobacteriota	bacterium	NA	314
PitR	A0A971AGB5	unreviewed	TIGR00153 family protein	1926873	Lysobacteraceae	bacterium	NA	224
PitR	A0A953ETY4	unreviewed	DUF47 domain-containing protein	2497627	Microthrixaceae	bacterium	NA	204
PitR	A0A9D6BQD8	unreviewed	TIGR00153 family protein	2484252	Myxococcaceae	bacterium	NA	222
PitR	A0A257M473	unreviewed	Pit accessory protein	2015575	Verrucomicrobiales	bacterium	VVV1	208
PitR	A0A134A3M6	unreviewed	TIGR00153 family protein	1476999	Olsenella	sp.	DNF00959	207
PitR	A0A542ZIV8	unreviewed	DUF47 family protein	297536	Oryzihumus	leptocrescens	NA	201
PitR	A0A7D5MZJ5	unreviewed	TIGR00153 family protein	2026727	Coxiellaceae	bacterium	NA	226
PitR	A0A1W9Q0H0	unreviewed	TIGR00153 family protein	1968522	Desulfococcus	sp.	4484_241	222
PitR	A0A497Q718	unreviewed	DUF47 family protein	2053491	Thorarchaeota	archaeon	(strain OWC)	220
