ID	NAME	X	Y
0	A0A0H3K7D8 PitR Staphylococcus aureus	0.8429388	0.31479657
1	A0A011MFN1 PitR Candidatus Accumulibacter	0.833635	0.3361441
2	A0A011MH92 PitR Mannheimia granulomatis	0.71240926	0.254776
3	A0A011NUD0 PitR Accumulibacter regalis	0.86578345	0.3703489
4	A0A011UB90 PitR Aquamicrobium defluvii	0.8212478	0.3395382
5	A0A021VT58 PitR Actinotalea ferrariae	0.84087336	0.33344805
6	A0A023WSF1 PitR Stutzerimonas stutzeri	0.69903874	0.2426617
7	A0A031GSJ6 PitR Janthinobacterium lividum	0.8232632	0.32179648
8	A0A031IDC3 PitR Exiguobacterium sp.	0.8425598	0.31702435
9	A0A031MIU3 PitR Halopseudomonas bauzanensis	0.7195407	0.24504413
10	A0A059G145 PitR Hyphomonas oceanitis	0.84837264	0.35785285
11	A0A059MZE5 PitR Enterococcus faecalis	0.81793725	0.32246056
12	A0A060DUA6 PitR Azospirillum argentinense	0.81579524	0.32665074
13	A0A060HGD1 PitR Nitrososphaera viennensis	0.7817332	0.33755842
14	A0A060P004 PitR Serpentinimonas maccroryi	0.1850707	0.05761457
15	A0A062XQA1 PitR Thermoanaerobaculum aquaticum	0.8379912	0.3293785
16	A0A063C966 PitR Bacillus cereus	0.84090674	0.3188692
17	A0A063KN92 PitR Pseudoalteromonas fuliginea	0.71858925	0.25393993
18	A0A063Y4N4 PitR Nitrincola lacisaponensis	0.7172106	0.2456906
19	A0A066UDN1 PitR Amycolatopsis rifamycinica	0.8355782	0.3341294
20	A0A068NPN0 PitR Fimbriimonas ginsengisoli	0.82426286	0.3289208
21	A0A069RI35 PitR Peptoclostridium litorale	0.7615766	0.25806007
22	A0A069ZQH0 PitR Chlamydia muridarum	0.7256174	0.23891401
23	A0A075FWV2 PitR uncultured marine	0.8243906	0.3343128
24	A0A075KA73 PitR Pelosinus sp.	0.8242439	0.3255859
25	A0A075LPB4 PitR Palaeococcus pacificus	0.74189675	0.265154
26	A0A075R4Y4 PitR Brevibacillus laterosporus	0.8389711	0.31805035
27	A0A075RL67 PitR Flavobacterium psychrophilum	0.844219	0.33190733
28	A0A075WGL5 PitR Archaeoglobus fulgidus	0.6924024	0.23362465
29	A0A075WXR2 PitR Thermodesulfobacterium commune	0.6349322	0.1721954
30	A0A076IM56 PitR Phocaeicola dorei	0.83062494	0.3374286
31	A0A077MG36 PitR Nostocoides jenkinsii	0.84707737	0.33785936
32	A0A078KR51 PitR [Clostridium] cellulosi	0.82916534	0.32175136
33	A0A078LYM5 PitR Pseudomonas saudiphocaensis	0.7265928	0.25299004
34	A0A081BVZ9 PitR Vecturithrix granuli	0.71611935	0.24420032
35	A0A081FXV9 PitR Marinobacterium lacunae	0.7249716	0.25474733
36	A0A081K7C4 PitR Endozoicomonas elysicola	0.7134451	0.24793755
37	A0A084DEG8 PitR Burkholderia sp.	0.8328044	0.32886246
38	A0A084IJ49 PitR Salinisphaera hydrothermalis	0.84704167	0.3638403
39	A0A085FQZ8 PitR Bosea sp.	0.8318504	0.33751586
40	A0A086ZVF8 PitR Bifidobacterium biavatii	0.8285197	0.31963423
